항목,사례수,증가,감소,변화 없음
OTT 서비스,762,65.5,2.9,31.6
포털,992,63.7,1.8,34.5
1인 미디어 플랫폼,855,62.5,2.9,34.6
종편·보도채널·PP,941,57.8,7.1,35.1
메신저,978,54.9,3.2,41.9
지상파 채널,955,46.6,9.6,43.8
소셜미디어,817,43.7,5.6,50.7
